fire_id,model,n_train,n_test,training_events,seconds,rmse,mae,r2,pearson_r,high_threshold_train_p75,high_iou,high_f1,observed_high_fraction,predicted_high_fraction
2019_105,rf_structure_terrain,165000,46262,11,7.82848309999099,0.2792569398880005,0.2189179956912994,-0.9105231761932372,-0.0622413807750021,0.6230000257492065,0.0,0.0,0.19971034542389,0.0
2019_105,rf_full,165000,46262,11,21.111862299992936,0.2563223838806152,0.2016060799360275,-0.60959792137146,0.0199014701198943,0.6230000257492065,0.0,0.0,0.19971034542389,0.0
2020_293,naive_training_mean,165000,50074,11,0.0174033000075723,0.2748277187347412,0.2320601642131805,-0.24734628200531,,0.6039999723434448,0.0,0.0,0.4464392698805767,0.0
2020_293,linear_full,165000,50074,11,0.0693847000075038,0.3644261956214905,0.2700897753238678,-1.1932344436645508,0.0452201648406495,0.6039999723434448,0.2862753133217225,0.4451229225296023,0.4464392698805767,0.3057674641530535
2020_293,rf_spectral,165000,50074,11,10.376341199997114,0.3109896779060364,0.2580535411834717,-0.5971947908401489,0.1024069370125899,0.6039999723434448,0.046937388497154,0.0896660851219215,0.4464392698805767,0.0457722570595518
2020_293,rf_structure_terrain,165000,50074,11,7.49157670000568,0.2486009448766708,0.1991631835699081,-0.0206373929977417,0.1840363608970614,0.6039999723434448,0.2940202143122739,0.4544290901491601,0.4464392698805767,0.3180492870551584
2020_293,rf_full,165000,50074,11,20.753867999999784,0.2681288421154022,0.2156293392181396,-0.187279462814331,0.1763772970330602,0.6039999723434448,0.252326934264107,0.402972941586343,0.4464392698805767,0.2414226944122698
2021_1183,naive_training_mean,165000,107380,11,0.0144616000034147,0.1666222214698791,0.1316652745008468,-0.0063778162002563,,0.6299999952316284,0.0,0.0,0.1101788042466008,0.0
2021_1183,linear_full,165000,107380,11,0.0674958000017795,0.1736264079809188,0.1376030892133712,-0.0927648544311523,0.1655110119586119,0.6299999952316284,0.0004943561011782,0.0009882236679568,0.1101788042466008,0.0029055690072639
2021_1183,rf_spectral,165000,107380,11,10.13748280001164,0.2395977824926376,0.1893118172883987,-1.0809459686279297,-0.0058848387119462,0.6299999952316284,0.0663627690024382,0.1244656526493687,0.1101788042466008,0.0771745203948593
2021_1183,rf_structure_terrain,165000,107380,11,8.195260700013023,0.1991319507360458,0.1578273624181747,-0.4373981952667236,0.1209494472661926,0.6299999952316284,0.0905581637976004,0.1660767243853439,0.1101788042466008,0.0845129446824362
2021_1183,rf_full,165000,107380,11,18.69850010001392,0.2208486497402191,0.1721264123916626,-0.7680099010467529,0.1523358123437305,0.6299999952316284,0.1393821454633909,0.24466268146883,0.1101788042466008,0.1079251257217358
2021_1501,naive_training_mean,165000,69997,11,0.0160158999933628,0.2311250865459442,0.1879084408283233,-0.0147936344146728,,0.6179999709129333,0.0,0.0,0.2575681814934926,0.0
2021_1501,linear_full,165000,69997,11,0.0687666000012541,0.2277756482362747,0.1858948916196823,0.014405608177185,0.2980673221667985,0.6179999709129333,0.008830143147041,0.0175057083831684,0.2575681814934926,0.0052145091932511
2021_1501,rf_spectral,165000,69997,11,9.791394900006708,0.2396047413349151,0.1939973533153534,-0.0906224250793457,0.1577530572718019,0.6179999709129333,0.0306165318769036,0.0594140127388535,0.2575681814934926,0.0228009771847364
2021_1501,rf_structure_terrain,165000,69997,11,7.975265200002468,0.2344841808080673,0.1890331357717514,-0.0445053577423095,0.1890192344695394,0.6179999709129333,0.0906140788816774,0.166170748455024,0.2575681814934926,0.0545166221409489
2021_1501,rf_full,165000,69997,11,19.807568700009146,0.2319452464580536,0.1873187869787216,-0.0220086574554443,0.3217600652180874,0.6179999709129333,0.0904893813481071,0.165961049957663,0.2575681814934926,0.0461305484520765
2022_607,naive_training_mean,165000,54363,11,0.0146883999987039,0.3144777119159698,0.2637990117073059,-0.6031394004821777,,0.597000002861023,0.0,0.0,0.5379761970457848,0.0
2022_607,linear_full,165000,54363,11,0.062883899998269,0.2774630486965179,0.2342146039009094,-0.247963547706604,0.0371816995695262,0.597000002861023,0.0139862463041094,0.027586658803486,0.5379761970457848,0.0234718466604124
2022_607,rf_spectral,165000,54363,11,10.28387610000209,0.3126136660575866,0.2623595297336578,-0.5841906070709229,-0.0028815162663518,0.597000002861023,0.057978115302956,0.1096017289286817,0.5379761970457848,0.0578334528999503
2022_607,rf_structure_terrain,165000,54363,11,7.609303000004729,0.2587372064590454,0.2150426656007766,-0.0851989984512329,0.1673456895950746,0.597000002861023,0.2896998654474558,0.4492516021887708,0.5379761970457848,0.325975387671762
2022_607,rf_full,165000,54363,11,19.234083399991505,0.2593899071216583,0.2163159847259521,-0.0906809568405151,0.2365029823174252,0.597000002861023,0.1919872580249938,0.3221297152842018,0.5379761970457848,0.1778783363684859
